name,address
"Skiles, William Vernon Classroom Building",686 Cherry St
"Robert, L.W. Alumni House",190 North Avenue
"Smith, John M. Residence Hall",630 Williams St
"Brown, Julius Residence Hall",625 Techwood Dr
"Peters, Richard Park Parking Deck",749 Fowler St
"Burge, Flippen D. Parking Deck",200 North Avenue
"Howell, Clark Residence Hall",640 Williams St
"Harris, Nathanial E. Residence Hall",633 Techwood Dr
"Brittain, Marion L. Dining Hall",649 Techwood Dr
"Cloudman, Josiah Residence Hall",661 Techwood Dr
"Harrison, George W. Jr. Residence Hall",660 Williams St
"Towers, Donigan D. Residence Hall",112 Bobby Dodd W
"Glenn, William H. Residence Hall",118 Bobby Dodd W
"Dodd, Bobby Stadium at Grant Field",155 North Avenue
"Edge, Arthur B. Intercollegiate Athletic Center",150 Bobby Dodd W
"Rice, Homer Center for Sports Performance",154 Bobby Dodd W
WREK Transmitter and Tower,850 Curran St
"Daniel, J.L. Laboratory",200 Bobby Dodd W
Daniel Lab Addition,200 Bobby Dodd W
OIT Engineering,220 Bobby Dodd W
"Smith, David M.",685 Cherry St
"Chapin, Lloyd W.",681 Cherry St
"Holland, Archibald D. (Heating and Cooling)",680 Power Plant
"Hall, Lyman",221 Uncle Heinie
"Emerson, William Henry",221 Uncle Heinie
Lyman/Emerson Addition,221 Uncle Heinie
"French, Aaron",237 Uncle Heinie
"Moore, Bill Student Success Center",219 Uncle Heinie
Facilities,955 Fowler St
"O'Keefe, Daniel C.",151 Sixth Street
O'Keefe Gym,151 Sixth Street
Womens Softball Locker Room,151 Sixth Street
O'Keefe Storage Facility,151 Sixth Street
"Evans, Lettie Pate Whitehead Administration",225 North Avenue
"Carnegie, Andrew",223 Uncle Heinie
"Savant, Domenico P.",631 Cherry St
"Swann, Janie Austell",613 Cherry St
"Guggenheim, Daniel F.",265 North Avenue
Engineering Science and Mechanics,620 Cherry St
Student Center Parking Booth,355 Ferst Drive
"Coon, John Saylor",654 Cherry St
"Beringause, Gary F.",879 Hemphill Ave
"Wardlaw, William C. Jr. Center",177 North Avenue
Computing (COC),801 Atlantic Dr
"Hinman, Thomas P. Research",723 Cherry St
"Hinman, Thomas P. Addition",723 Cherry St
Calculator,240 Fourth St
Rich (Old),240 Fourth St
Rich Computer Center,258 Fourth St
Rich Chiller Plant,725 Cherry St
Graduate Living Center,301 Tenth Street
Student Center Parking Deck,391 Ferst Drive
Instructional Center,759 Ferst Drive
"Groseclose, Colonel Frank F.",765 Ferst Drive
ISYE Annex,755 Ferst Drive
Civil Engineering (Old),221 Bobby Dodd W
"Hall, Stephen C.",215 Bobby Dodd W
"Caddell, Joyce K. & John A. Architecture Annex",280 Ferst Drive
430 Tenth Street (North),430 Tenth Street
430 Tenth Street (South),430 Tenth Street
Pumping Station,185 Bobby Dodd W
"Nelson, Kurt S. (West), Carolyn & Earl Shell (North) UG Liv Ctr",580 Turner Place
"Maulding, Jeanette & William Residence Hall",501 Sixth Street
"Emerson, Cherry L.",310 Ferst Drive
Emerson Addition,310 Ferst Drive
Facilities Garage/Warehouse,947 Atlantic Dr
Facilities Operations Storage,947 Atlantic Dr
President's House,292 Tenth Street
President's House - Grounds,294 Tenth Street
"Brittain, Marion L. ""T"" Room Addition",658 Williams St
McCamish Pavilion,965 Fowler St
"Luck, James K. Jr.",175 Eighth St
